title,publication_date,journal,doi,access,saved_as,saved_path,article_url,pdf_url,note
A Study on the Rain Attenuation Characteristics Using Multiple Ku-Band Satellite Signals in Relation to Rain Area Motion,2024/12/01,IEICE Transactions on Communications,10.23919/transcom.2024CEI0005,UNKNOWN,PDF,D:\论文卫星\参考文献\论文文献\IEICE\Transactions_on_Communications_satellite\PDF_downloaded\2024_A_Study_on_the_Rain_Attenuation_Characteristics_Using_Multiple_Ku-Band_Satellite_Signals_in_Relation_to_Rain_Area_M.pdf,https://www.jstage.jst.go.jp/article/transcom/E107.B/12/E107.B_2024CEI0005/_article/-char/en,https://www.jstage.jst.go.jp/article/transcom/E107.B/12/E107.B_2024CEI0005/_pdf,Recent PDF accessible from official site.
DRoF-Based Optical Video Re-Transmission System with Adaptive Combination Compression for Rain Attenuated Satellite Broadcast Signals,2022/09/01,IEICE Transactions on Communications,10.1587/transcom.2021EBP3185,UNKNOWN,PDF,D:\论文卫星\参考文献\论文文献\IEICE\Transactions_on_Communications_satellite\PDF_downloaded\2022_DRoF-Based_Optical_Video_Re-Transmission_System_with_Adaptive_Combination_Compression_for_Rain_Attenuated_Satellite.pdf,https://www.jstage.jst.go.jp/article/transcom/E105.B/9/E105.B_2021EBP3185/_article/-char/en,https://www.jstage.jst.go.jp/article/transcom/E105.B/9/E105.B_2021EBP3185/_pdf,PDF accessible from official site.
Rain Attenuation Characteristics due to Typhoon Wind Velocities in Satellite Communications,2022/06/01,IEICE Transactions on Communications,10.1587/transcom.2021ISP0008,UNKNOWN,PDF,D:\论文卫星\参考文献\论文文献\IEICE\Transactions_on_Communications_satellite\PDF_downloaded\2022_Rain_Attenuation_Characteristics_due_to_Typhoon_Wind_Velocities_in_Satellite_Communications.pdf,https://www.jstage.jst.go.jp/article/transcom/E105.B/6/E105.B_2021ISP0008/_article/-char/en,https://www.jstage.jst.go.jp/article/transcom/E105.B/6/E105.B_2021ISP0008/_pdf,PDF accessible from official site.
2.65Gbps Downlink Communications with Polarization Multiplexing in X-Band for Small Earth Observation Satellite,2021/01/01,IEICE Transactions on Communications,10.1587/transcom.2019EBN0009,UNKNOWN,PDF,D:\论文卫星\参考文献\论文文献\IEICE\Transactions_on_Communications_satellite\PDF_downloaded\2021_2.65Gbps_Downlink_Communications_with_Polarization_Multiplexing_in_X-Band_for_Small_Earth_Observation_Satellite.pdf,https://www.jstage.jst.go.jp/article/transcom/E104.B/1/E104.B_2019EBN0009/_article/-char/en,https://www.jstage.jst.go.jp/article/transcom/E104.B/1/E104.B_2019EBN0009/_pdf,PDF accessible from official site.
Transmission System of 4K/8K UHDTV Satellite Broadcasting,2020/10/01,IEICE Transactions on Communications,10.1587/transcom.2019CBI0001,UNKNOWN,PDF,D:\论文卫星\参考文献\论文文献\IEICE\Transactions_on_Communications_satellite\PDF_downloaded\2020_Transmission_System_of_4K_8K_UHDTV_Satellite_Broadcasting.pdf,https://www.jstage.jst.go.jp/article/transcom/E103.B/10/E103.B_2019CBI0001/_article/-char/en,https://www.jstage.jst.go.jp/article/transcom/E103.B/10/E103.B_2019CBI0001/_pdf,Special-section invited paper; official PDF accessible.
Selective Symbol Level Precoding for Multibeam Satellite Communication Systems,2026/02/01,IEICE Transactions on Communications,10.23919/transcom.2025CEP0008,UNKNOWN,HTML,D:\论文卫星\参考文献\论文文献\IEICE\Transactions_on_Communications_satellite\Official_pages_recent_restricted\2026_Selective_Symbol_Level_Precoding_for_Multibeam_Satellite_Communication_Systems.html,https://www.jstage.jst.go.jp/article/transcom/E109.B/2/E109.B_2025CEP0008/_article/-char/en,https://www.jstage.jst.go.jp/article/transcom/E109.B/2/E109.B_2025CEP0008/_pdf/-char/en,Recent paper page saved because official PDF returns HTML in current session.
Direct Spectrum Division Transmission Adapter of Burst Signal for Satellite Communications,2025/05/01,IEICE Transactions on Communications,10.23919/transcom.2024EBP3075,UNKNOWN,HTML,D:\论文卫星\参考文献\论文文献\IEICE\Transactions_on_Communications_satellite\Official_pages_recent_restricted\2025_Direct_Spectrum_Division_Transmission_Adapter_of_Burst_Signal_for_Satellite_Communications.html,https://www.jstage.jst.go.jp/article/transcom/E108.B/5/E108.B_2024EBP3075/_article/-char/en,https://www.jstage.jst.go.jp/article/transcom/E108.B/5/E108.B_2024EBP3075/_pdf/-char/en,Recent paper page saved because official PDF returns HTML in current session.
A Study on Long-Term Rain Attenuation Characteristics in Ka and Ku Band Satellite Communications Links,2025/10/01,IEICE Transactions on Communications,10.23919/transcom.2024EBP3192,UNKNOWN,HTML,D:\论文卫星\参考文献\论文文献\IEICE\Transactions_on_Communications_satellite\Official_pages_recent_restricted\2025_A_Study_on_Long-Term_Rain_Attenuation_Characteristics_in_Ka_and_Ku_Band_Satellite_Communications_Links.html,https://www.jstage.jst.go.jp/article/transcom/E108.B/10/E108.B_2024EBP3192/_article/-char/en,https://www.jstage.jst.go.jp/article/transcom/E108.B/10/E108.B_2024EBP3192/_pdf/-char/en,Recent paper page saved because official PDF returns HTML in current session.
A Study on Frequency Scaling of Rain Attenuation Using Simultaneous Measurements of Ka-Band and Ku-Band Satellite Beacon Signals,2025/10/01,IEICE Transactions on Communications,10.23919/transcom.2024EBP3177,UNKNOWN,HTML,D:\论文卫星\参考文献\论文文献\IEICE\Transactions_on_Communications_satellite\Official_pages_recent_restricted\2025_A_Study_on_Frequency_Scaling_of_Rain_Attenuation_Using_Simultaneous_Measurements_of_Ka-Band_and_Ku-Band_Satellite_B.html,https://www.jstage.jst.go.jp/article/transcom/E108.B/10/E108.B_2024EBP3177/_article/-char/en,https://www.jstage.jst.go.jp/article/transcom/E108.B/10/E108.B_2024EBP3177/_pdf/-char/en,Recent paper page saved because official PDF returns HTML in current session.
Joint User Association and Spectrum Allocation in Satellite-Terrestrial Integrated Networks,,IEICE Transactions on Communications,10.1587/transcom.2021EBP3162,UNKNOWN,HTML,D:\论文卫星\参考文献\论文文献\IEICE\Transactions_on_Communications_satellite\Official_pages_recent_restricted\NA_Joint_User_Association_and_Spectrum_Allocation_in_Satellite-Terrestrial_Integrated_Networks.html,https://www.jstage.jst.go.jp/article/transcom/advpub/0/advpub_2021EBP3162/_article/-char/en,https://www.jstage.jst.go.jp/article/transcom/advpub/0/advpub_2021EBP3162/_pdf,Relevant STIN paper; official article page saved because PDF is restricted.
