OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
GEESAT-1 01,2022-058A,2026-03-24T06:05:08.313216,14.81097621,.00225563,49.9923,234.6433,296.0069,63.8546,0,U,52785,999,20734,.31939906E-3,.2291E-4,0
GEESAT-1 02,2022-058B,2026-03-24T06:26:39.294240,14.81089826,.00231087,49.9994,234.7952,286.2795,73.5600,0,U,52786,999,20734,.32867239E-3,.2364E-4,0
GEESAT-1 03,2022-058C,2026-03-24T05:32:23.454528,14.81078004,.00086078,49.9858,233.7008,141.3306,218.8248,0,U,52787,999,20734,.33437919E-3,.2402E-4,0
GEESAT-1 04,2022-058D,2026-03-24T05:43:14.099232,14.81065122,.00100938,50.0029,235.1853,183.4172,176.6698,0,U,52788,999,20733,.32559131E-3,.2332E-4,0
GEESAT-1 05,2022-058E,2026-03-24T05:28:03.894240,14.99898083,.0001978,49.9863,224.8726,217.8269,142.2537,0,U,52789,999,20745,.43220034E-3,.5167E-4,0
GEESAT-1 06,2022-058F,2026-03-24T06:37:09.492384,14.81092797,.00347354,50.0039,234.8578,181.9945,178.0859,0,U,52790,999,20734,.35407856E-3,.2577E-4,0
GEESAT-1 07,2022-058G,2026-03-24T05:21:40.310208,14.81080013,.00130664,49.9872,233.8339,131.0331,229.1738,0,U,52791,999,20733,.32919123E-3,.2362E-4,0
GEESAT-1 08,2022-058H,2026-03-24T05:53:56.617152,14.81092709,.00199946,49.9923,233.7472,324.6518,35.3092,0,U,52792,999,20734,.31574874E-3,.226E-4,0
GEESAT-1 09,2022-058J,2026-03-24T06:03:19.868256,14.99828536,.00072005,49.9966,225.6918,194.9718,165.1015,0,U,52793,999,20749,.44396905E-3,.5306E-4,0
GEESAT-2 01,2024-023A,2026-03-24T05:55:16.600224,14.82942275,.00052179,49.9954,27.4162,60.6081,299.5377,0,U,58905,999,11630,.29169897E-3,.2168E-4,0
GEESAT-2 02,2024-023B,2026-03-24T07:10:44.118336,14.82968641,.00152286,49.9993,27.2975,32.2735,327.9132,0,U,58906,999,11631,.29478697E-3,.2196E-4,0
GEESAT-2 03,2024-023C,2026-03-24T06:23:02.448384,14.96686332,.00061926,50.0021,6.0234,61.3628,298.7938,0,U,58907,999,11660,.30165964E-3,.3231E-4,0
GEESAT-2 04,2024-023D,2026-03-24T05:52:50.290464,14.96772305,.00063594,49.9937,5.2511,64.5195,295.6406,0,U,58908,999,11660,.31984784E-3,.3449E-4,0
