Name,OriginalName,ObjectId,NoradId,SemiMajorAxis_m,ApproxAltitude_m,Eccentricity,Inclination_deg,RAAN_deg,ArgPerigee_deg,MeanAnomaly_deg,TrueAnomaly_deg,MeanMotion_rev_per_day,PlaneIndex,SlotIndex
EXT_P01_S01_46564,STARLINK-1733,2020-070AJ,46564,6712831.67826962,341831.678269616,0.0001785,53.0415,33.4807,90.8352,62.8383,62.8565007496238,15.78498326,1,1
EXT_P01_S02_48145,STARLINK-2488,2021-027BF,48145,6589252.18808606,218252.188086058,0.0004262,53.0291,28.9096,202.1078,157.9778,157.996103885944,16.23112296,1,2
EXT_P01_S03_45361,STARLINK-1301,2020-019B,45361,6746617.28595464,375617.285954636,5.684e-05,53.0429,33.0168,196.7145,163.3851,163.386962294485,15.66656013,1,3
EXT_P01_S04_44758,STARLINK-1053,2019-074AX,44758,6641355.7490956,270355.749095602,0.0005275,53.0244,7.1307,148.7286,211.4059,211.374418912078,16.04049055,1,4
EXT_P01_S05_45360,STARLINK-1279,2020-019A,45360,6766280.73256839,395280.732568389,0.00019845,53.0418,28.5176,147.8114,212.3019,212.289750366413,15.59831703,1,5
EXT_P01_S06_46077,STARLINK-1559,2020-055BC,46077,6851078.10491069,480078.104910687,0.0004413,53.0276,4.8498,92.539,267.6115,267.560975846865,15.30961904,1,6
EXT_P01_S07_45399,STARLINK-1255,2020-019AR,45399,6782181.49709343,411181.497093432,0.00020543,53.0428,32.9242,69.8056,290.3174,290.29532209759,15.54349402,1,7
EXT_P01_S08_47724,STARLINK-2116,2021-017C,47724,6673347.83608632,302347.836086319,0.0001731,53.0372,9.0596,232.3389,319.6114,319.598544911332,15.92528153,1,8
EXT_P02_S01_46588,STARLINK-1746,2020-070BJ,46588,6717186.44760181,346186.447601806,0.0002601,53.0391,41.2613,144.6356,2.4187,2.41995824279242,15.76963558,2,1
EXT_P02_S02_45387,STARLINK-1274,2020-019AD,45387,6796825.90623357,425825.90623357,0.0002163,53.029,33.5392,266.772,93.304,93.3287445682021,15.49328618,2,2
EXT_P02_S03_44736,STARLINK-1031,2019-074Z,44736,6653769.45967917,282769.45967917,0.0003608,53.0357,43.6517,77.0511,95.2188,95.2599715522035,15.9956222,2,3
EXT_P02_S04_46585,STARLINK-1736,2020-070BF,46585,6737133.36437199,366133.364371987,0.0002017,53.0412,42.9315,129.9384,104.6055,104.627864793906,15.6996527,2,4
EXT_P02_S05_46558,STARLINK-1680,2020-070AC,46558,6704361.20952347,333361.209523469,0.0006434,53.039,35.3161,74.7703,181.0006,180.999313527888,15.81490746,2,5
EXT_P02_S06_45388,STARLINK-1280,2020-019AE,45388,6744863.33897777,373863.338977775,0.00018558,53.0431,51.1277,105.6425,254.4795,254.459010836602,15.67267147,2,6
EXT_P02_S07_46538,STARLINK-1678,2020-070G,46538,6747387.31925937,376387.319259374,0.000142,53.0429,38.9787,91.1868,255.0795,255.063777343898,15.66387833,2,7
EXT_P02_S08_46533,STARLINK-1648,2020-070B,46533,6628919.81665703,257919.816657027,0.0001876,53.0376,48.2792,83.9566,276.1681,276.146726535107,16.08564994,2,8
EXT_P03_S01_46717,STARLINK-1820,2020-073AZ,46717,6655511.09577761,284511.09577761,0.0005983,53.0347,86.6591,43.3967,11.1265,11.1397401617473,15.98934393,3,1
EXT_P03_S02_46576,STARLINK-1677,2020-070AW,46576,6739867.21192717,368867.211927175,0.0002718,53.0374,51.3382,110.2885,33.5353,33.5525114936453,15.69010145,3,2
EXT_P03_S03_46582,STARLINK-1728,2020-070BC,46582,6778262.07950409,407262.07950409,0.00017319,53.0418,55.3482,206.4195,153.6727,153.681500009323,15.55697762,3,3
EXT_P03_S04_46535,STARLINK-1663,2020-070D,46535,6742910.31436818,371910.314368185,0.0001516,53.0429,63.9725,147.8966,212.2142,212.204940672151,15.67948114,3,4
EXT_P03_S05_46563,STARLINK-1730,2020-070AH,46563,6806419.43867707,435419.43867707,0.00030505,53.0306,53.2326,50.0983,310.029,310.002226842755,15.46054144,3,5
EXT_P03_S06_45746,STARLINK-1504,2020-038S,45746,6782851.90210786,411851.902107857,9.46e-05,53.0229,72.0104,38.7398,321.3679,321.36113154908,15.54118964,3,6
EXT_P03_S07_44724,STARLINK-1019,2019-074M,44724,6692314.24327079,321314.243270792,3.06e-05,53.0403,61.5794,98.3574,326.6601,326.658172748493,15.85762976,3,7
EXT_P03_S08_46712,STARLINK-1814,2020-073AU,46712,6598201.5026631,227201.5026631,0.0006472,53.026,107.7194,27.6977,332.4405,332.406162113479,16.19811211,3,8
EXT_P04_S01_45744,STARLINK-1500,2020-038Q,45744,6837336.48279537,466336.48279537,0.0002734,53.0354,123.1378,344.0561,16.0353,16.0439569302943,15.35579594,4,1
EXT_P04_S02_46696,STARLINK-1795,2020-073AC,46696,6736294.92201767,365294.922017672,0.0004002,53.0419,107.7693,78.6022,49.6153,49.6502430570883,15.70258391,4,2
EXT_P04_S03_46691,STARLINK-1790,2020-073X,46691,6714728.21055905,343728.210559053,0.0001243,53.0408,124.7272,15.5721,70.5902,70.6036348937588,15.77829618,4,3
EXT_P04_S04_46714,STARLINK-1816,2020-073AW,46714,6714646.47165707,343646.471657066,0.0002528,53.0376,124.8462,39.5992,76.8908,76.9190158290051,15.77858429,4,4
EXT_P04_S05_46699,STARLINK-1799,2020-073AF,46699,6703852.60509133,332852.60509133,0.0005634,53.0406,121.2086,335.6166,212.3065,212.272016077659,15.81670725,4,5
EXT_P04_S06_46727,STARLINK-1830,2020-073BK,46727,6771469.2490486,400469.249048605,0.0004471,53.0423,111.8182,50.3542,309.7863,309.746915926977,15.58039257,4,6
EXT_P04_S07_46713,STARLINK-1815,2020-073AV,46713,6732591.06045086,361591.060450862,0.0006626,53.0426,129.4824,31.5139,328.6273,328.587743504875,15.7155436,4,7
EXT_P04_S08_46687,STARLINK-1784,2020-073T,46687,6750451.56438189,379451.564381895,0.0006278,53.0425,114.3439,2.0694,358.0345,358.032030665595,15.65321404,4,8
EXT_P05_S01_45096,STARLINK-1152,2020-006BE,45096,6823471.27635929,452471.276359286,0.0002889,53.038,136.9913,306.9238,53.15,53.1764970352331,15.40262388,5,1
EXT_P05_S02_46128,STARLINK-1622,2020-057M,46128,6746027.31025817,375027.310258167,0.0002314,53.0213,151.9949,286.7423,73.3338,73.3592046847802,15.66861536,5,2
EXT_P05_S03_46155,STARLINK-1667,2020-057AQ,46155,6744206.74671844,373206.746718437,0.0002026,53.0214,152.6132,270.5632,89.5151,89.5383154675637,15.67496028,5,3
EXT_P05_S04_46168,STARLINK-1627,2020-057BD,46168,6719651.75064429,348651.750644293,0.0005827,53.0411,150.7056,47.8347,101.8937,101.959029185035,15.76095804,5,4
EXT_P05_S05_46700,STARLINK-1800,2020-073AG,46700,6691929.53897077,320929.538970771,0.0008466,53.0369,134.7239,11.4272,162.4293,162.458557063277,15.85899721,5,5
EXT_P05_S06_46164,STARLINK-1612,2020-057AZ,46164,6686272.86034678,315272.860346785,0.0007027,53.0301,136.6181,352.8592,258.1558,258.077005140196,15.87912686,5,6
EXT_P05_S07_46698,STARLINK-1797,2020-073AE,46698,6772876.43073962,401876.430739615,0.0005249,53.0429,136.9434,62.4304,297.724,297.670739829311,15.57553718,5,7
EXT_P05_S08_46689,STARLINK-1788,2020-073V,46689,6749036.96001696,378036.960016959,0.0003958,53.0407,146.1131,26.4393,333.6823,333.662182875164,15.65813569,5,8
